ms,speed,elevation,temperature,cadence,power,distance,positionLat,positionLong
112.0,3.658,274.0,803.6,35.0,84.0,286.24,44.5537,6.47935
112.0,3.742,328.0,803.8,35.0,84.0,290.08,44.55372,6.47938
112.0,3.854,316.0,804.0,35.0,87.0,293.93,44.55375,6.47941
113.0,3.751,255.0,804.2,35.0,86.0,297.83,44.55378,6.47944
113.0,3.639,261.0,804.6,35.0,83.0,301.68,44.5538,6.47947
113.0,3.592,262.0,804.8,35.0,83.0,305.41,44.55383,6.4795
113.0,3.443,239.0,805.0,35.0,80.0,309.15,44.55386,6.47953
112.0,3.359,247.0,805.4,35.0,77.0,312.65,44.55388,6.47956
113.0,3.387,272.0,805.4,35.0,76.0,316.2,44.55391,6.47959
113.0,3.462,297.0,805.8,35.0,77.0,319.7,44.55393,6.47962
113.0,3.378,271.0,806.2,35.0,62.0,323.27,44.553959999999996,6.47964
112.0,3.079,256.0,806.4,35.0,62.0,326.6,44.55398,6.47967
112.0,3.434,256.0,806.6,35.0,47.0,330.0,44.554,6.47969
112.0,3.499,0.0,806.8,35.0,47.0,333.63,44.55403,6.47972
112.0,3.396,0.0,807.2,35.0,0.0,337.17,44.55405,6.47975
112.0,3.275,0.0,807.4,35.0,0.0,340.61,44.55408,6.47977
113.0,3.182,0.0,807.6,35.0,0.0,343.95,44.5541,6.4798
113.0,3.247,0.0,808.0,35.0,0.0,347.27,44.55413,6.47983
113.0,3.144,0.0,808.4,35.0,0.0,350.5,44.55415,6.47986
113.0,3.098,280.0,808.8,35.0,50.0,353.74,44.55417,6.47989
113.0,3.023,228.0,809.0,35.0,48.0,356.9,44.55419,6.47991
112.0,3.051,221.0,809.4,35.0,46.0,360.08,44.55421,6.47994
113.0,2.865,229.0,809.6,35.0,45.0,363.07,44.55423,6.47997
112.0,2.827,190.0,810.0,35.0,45.0,366.07,44.55424,6.48
112.0,2.519,190.0,810.2,35.0,47.0,368.93,44.55426,6.48002
112.0,2.799,238.0,810.6,35.0,45.0,371.76,44.55428,6.48005
112.0,2.874,322.0,811.0,35.0,48.0,374.85,44.55431,6.48007
111.0,3.191,335.0,811.2,35.0,53.0,378.09,44.55433,6.48009
111.0,3.079,257.0,811.4,35.0,53.0,381.35,44.55435,6.48012
111.0,3.116,257.0,811.8,35.0,53.0,384.68,44.55437,6.48015
111.0,3.34,257.0,812.0,35.0,53.0,388.21,44.5544,6.48017
